Game at: 2024-11-13 19:39:39, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:39:41, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:39:43, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 19:39:45, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:39:47, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:39:49, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:39:50, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:39:52, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:39:54, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:39:55, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:39:57, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:39:58, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:39:59, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:00, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 19:40:02, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:03, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:04, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:40:05, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:07, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:40:08, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:40:09, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:10, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:40:11, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:12, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:40:14, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 19:40:15, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:40:16, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:40:17, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:40:18, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:20, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 19:40:21, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 19:40:22, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:55:33, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:55:35, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 19:55:40, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 19:55:43, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 20:15:35, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 20:16:27, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 20:19:36, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 20:34:03, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 21:10:44, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 21:10:45, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 21:10:47, Computer Score: 0, Player Score: 1
Game at: 2024-11-13 21:10:48, Computer Score: 1, Player Score: 0
Game at: 2024-11-13 21:10:49, Computer Score: 0, Player Score: 0
Game at: 2024-11-13 21:10:51, Computer Score: 1, Player Score: 1
Game at: 2024-11-13 21:10:55, Computer Score: 1, Player Score: 0
Game at: 2024-11-14 08:44:53, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:44:55, Computer Score: 1, Player Score: 0
Game at: 2024-11-14 08:43:40, Computer Score: 1, Player Score: 0
Game at: 2024-11-14 08:43:47, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:43:48, Computer Score: 0, Player Score: 0
Game at: 2024-11-14 08:43:49, Computer Score: 1, Player Score: 1
Game at: 2024-11-14 08:43:50, Computer Score: 1, Player Score: 0
Game at: 2024-11-14 08:43:50, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:43:51, Computer Score: 1, Player Score: 0
Game at: 2024-11-14 08:45:06, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:45:07, Computer Score: 0, Player Score: 0
Game at: 2024-11-14 08:45:08, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:45:09, Computer Score: 1, Player Score: 1
Game at: 2024-11-14 08:45:09, Computer Score: 0, Player Score: 1
Game at: 2024-11-14 08:45:10, Computer Score: 1, Player Score: 0
